,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
0,Aqgromalin,2019.0,Chennai,Cultivating Ideas for Profit,Angel investors,200000.0,Series D,2020,1,2,Technology,Not Specified,200000.0
1,Krayonnz,2019.0,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,GSF Accelerator,100000.0,Pre-Seed,2020,1,2,Education,Not Specified,100000.0
2,PadCare Labs,2018.0,Pune,Converting bio-hazardous waste to harmless waste,Venture Center,nan,Series D,2020,1,1,Healthcare,Not Specified,25472041.55527319
3,NCOME,2020.0,Delhi,Escrow-as-a-service platform,"Venture Catalysts, PointOne Capital",400000.0,Series A,2020,2,1,Finance,Not Specified,400000.0
4,Gramophone,2016.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Siana Capital Management, Info Edge",340000.0,Corporate Round,2020,2,4,Technology,Not Specified,340000.0
5,qZense,2019.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020,2,2,Technology,Not Specified,600000.0
6,MyClassboard,2008.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,ICICI Bank.,600000.0,Series B,2020,1,1,Education,Not Specified,600000.0
7,Metvy,2018.0,Gurugram,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,HostelFund,nan,Angel,2020,1,1,Technology,Not Specified,25472041.55527319
8,Rupeek,2015.0,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020,2,3,FinTech,Not Specified,45000000.0
9,Gig India,2017.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Series D,2020,2,2,Other,Not Specified,1000000.0
